,track_id,title,artist,artist_id,album,album_id,album_releasedate,popularity,time_added,full_time_added,year_added,month_added,dayofweek_added,hour_added
42,4j4pPKE3xAblPIbhxScC1j,Rawnald Gregory Erickson the Second,STRFKR,2Tz1DTzVJ5Gyh8ZwVr6ekU,Starfucker,4mBSeOEiQ4WgDaCnydb0tZ,2008-09-23,63,2020-05-23T23:10:55Z,2020-05-23 23:10:55,2020,5,5,23
43,35rf8iduzQ7vd8hFbDlv0o,Easy Easy,King Krule,4wyNyxs74Ux8UIDopNjIai,6 Feet Beneath The Moon,6zmDdgPRKrvYwXk8eWv3iK,2013-08-24,51,2020-05-23T22:06:52Z,2020-05-23 22:06:52,2020,5,5,22
44,1Yxbxg5R6dQcYmOdjvlXP0,Roll The Bones - Audiotree Live Version,Shakey Graves,1fZpYWNWdL5Z3wrDtISFUH,Shakey Graves on Audiotree Live (2013),3JsZjfjVa95IMuZ50eX7BU,2013,59,2020-05-23T22:06:49Z,2020-05-23 22:06:49,2020,5,5,22
45,3XBPCbTU9rSGuyuK7Xbj4B,Sixteen Saltines,Jack White,4FZ3j1oH43e7cukCALsCwf,Blunderbuss,6eSJ0lu0uwtiqXkP7Qrrno,2012-04-20,50,2020-05-23T19:02:36Z,2020-05-23 19:02:36,2020,5,5,19
46,6B182GP3TvEfmgUoIMVUSJ,Evil,Interpol,3WaJSfKnzc65VDgmj2zU8B,Antics,58fDEyJ5XSau8FRA3y8Bps,2004-09-28,64,2020-05-23T18:55:31Z,2020-05-23 18:55:31,2020,5,5,18
47,6YK2tAEYnHgYkkC6TSziqM,Fell In Love With A Girl,The White Stripes,4F84IBURUo98rz4r61KF70,White Blood Cells,0LicnijsvZ3Q7OCU0g9U8Z,2001-07-03,62,2020-05-23T18:42:15Z,2020-05-23 18:42:15,2020,5,5,18
48,67DoMEUfkR2EuI1wVFqkGQ,Modern Romance,Yeah Yeah Yeahs,3TNt4aUIxgfy9aoaft5Jj2,Fever To Tell (Deluxe Remastered),44ePwTuWK88vnalqutqJEG,2003-04-29,33,2020-05-21T02:15:47Z,2020-05-21 02:15:47,2020,5,3,2
49,5tryzDT3iMMcONq3YHWgC9,Y Control,Yeah Yeah Yeahs,3TNt4aUIxgfy9aoaft5Jj2,Fever To Tell (Deluxe Remastered),44ePwTuWK88vnalqutqJEG,2003-04-29,52,2020-05-21T02:15:46Z,2020-05-21 02:15:46,2020,5,3,2
50,50SlUsduTdMTgpitQtv26O,No No No,Yeah Yeah Yeahs,3TNt4aUIxgfy9aoaft5Jj2,Fever To Tell (Deluxe Remastered),44ePwTuWK88vnalqutqJEG,2003-04-29,35,2020-05-21T02:15:45Z,2020-05-21 02:15:45,2020,5,3,2
51,2NjbIZpz7YMyo8s0hgheqD,Tick,Yeah Yeah Yeahs,3TNt4aUIxgfy9aoaft5Jj2,Fever To Tell (Deluxe Remastered),44ePwTuWK88vnalqutqJEG,2003-04-29,36,2020-05-21T02:15:43Z,2020-05-21 02:15:43,2020,5,3,2
52,0EJHhccadE8UvdZ5wGI1SN,Date With The Night,Yeah Yeah Yeahs,3TNt4aUIxgfy9aoaft5Jj2,Fever To Tell (Deluxe Remastered),44ePwTuWK88vnalqutqJEG,2003-04-29,50,2020-05-21T02:15:39Z,2020-05-21 02:15:39,2020,5,3,2
53,2Ff1bfQkF1nmjOETYLQZsL,Rich,Yeah Yeah Yeahs,3TNt4aUIxgfy9aoaft5Jj2,Fever To Tell (Deluxe Remastered),44ePwTuWK88vnalqutqJEG,2003-04-29,41,2020-05-21T02:15:38Z,2020-05-21 02:15:38,2020,5,3,2
54,5piIwdQnqzbAv7wU7nNkQc,Poor Song,Yeah Yeah Yeahs,3TNt4aUIxgfy9aoaft5Jj2,Fever To Tell (Deluxe Remastered),44ePwTuWK88vnalqutqJEG,2003-04-29,29,2020-05-21T02:15:36Z,2020-05-21 02:15:36,2020,5,3,2
55,61euvkLWDQdHRSl1VmPCVP,"Slow Night, So Long",Kings of Leon,2qk9voo8llSGYcZ6xrBzKx,Aha Shake Heartbreak,3fNRzhnl6WAtghBXEeyaub,2005-02-22,43,2020-05-15T05:21:52Z,2020-05-15 05:21:52,2020,5,4,5
56,4hNVjaMGvKgAK41O9tQoNn,Rebel Girl,Bikini Kill,0gvHPdYxlU94W7V5MSIlFe,Pussy Whipped,4rCgFExY3JIJdFij2kwB1w,1993-10-26,31,2020-05-15T05:21:51Z,2020-05-15 05:21:51,2020,5,4,5
57,1AH74ooBLeL0Zug6p4PBig,Heartbeats - Live,The Knife,7eQZTqEMozBcuSubfu52i4,Silent Shout (Audio/Visual Experience),2q4Yy2sKpNs6kSuNS1YNcV,2006-02-17,34,2020-05-15T05:21:49Z,2020-05-15 05:21:49,2020,5,4,5
58,0VbLcxrynVHddrt7sN9jsI,Blush,Wolf Alice,3btzEQD6sugImIHPMRgkwV,My Love Is Cool (Deluxe Edition),5Uqtbi6LDSKDNNzfVU58PM,2016-02-05,34,2020-05-15T04:59:10Z,2020-05-15 04:59:10,2020,5,4,4
59,1pyljdnXoCMK6KBchy8WCk,Fallin (Temptation),grandson,4ZgQDCtRqZlhLswVS6MHN4,a modern tragedy vol. 2,6puy3Q1mjuizTB4i91Xorq,2019-02-22,52,2020-05-15T03:30:27Z,2020-05-15 03:30:27,2020,5,4,3
60,6d15UEB74JSsEL9frcH3UU,Paris,Little Dragon,6Tyzp9KzpiZ04DABQoedps,Nabuma Rubberband,7cRFJj0IQqDZZ3Gm03aGbb,2014-01-01,34,2020-05-15T03:22:19Z,2020-05-15 03:22:19,2020,5,4,3
61,4yD1OINBnOGvoFQigH8bLR,Shot Down,Yeah Yeah Yeahs,3TNt4aUIxgfy9aoaft5Jj2,Fever To Tell (Deluxe Remastered),44ePwTuWK88vnalqutqJEG,2003-04-29,21,2020-05-15T03:22:12Z,2020-05-15 03:22:12,2020,5,4,3
62,6lFWke0GMhVjLl4edM4Jep,Ooh Ooh Ooh - Four Track Demo,Yeah Yeah Yeahs,3TNt4aUIxgfy9aoaft5Jj2,Fever To Tell (Deluxe Remastered),44ePwTuWK88vnalqutqJEG,2003-04-29,21,2020-05-15T02:52:59Z,2020-05-15 02:52:59,2020,5,4,2
63,3HqkmwPjEnEW6PXxbuonAK,Windows,Broken Bells,6dgwEwnK0YtDfS9XhRwBTG,Meyrin Fields EP,74Duvq6GksnldghnjwYRdB,2011-03-29,32,2020-05-14T05:18:47Z,2020-05-14 05:18:47,2020,5,3,5
64,4ESrHOeoOxvGSx9yLgM2aQ,Counting,Autre Ne Veut,7MC5zmK3iZHzPqGZEVSROe,Anxiety,0xOXSKdDGHiFGbi7Nf4CWT,2013-02-26,29,2020-05-14T05:18:33Z,2020-05-14 05:18:33,2020,5,3,5
65,6wTZv8fxGUXrQdDy15iyaY,Breathless,I M U R,3zJp99O5muOM6T31wat7FS,Little Death,6TpP63a6InKlHItjwf7wLp,2017-03-24,36,2020-05-14T05:00:17Z,2020-05-14 05:00:17,2020,5,3,5
66,6fcZNs8sOkLwMK2NPzfVWC,I'm Not Gonna Teach Your Boyfriend How To Dance With You,Black Kids,1oJolWh3meHLWUcyIijst7,Partie Traumatic,5VrF6FtM8ZJcA3NcGN2AM1,2008-01-01,46,2020-05-14T04:51:06Z,2020-05-14 04:51:06,2020,5,3,4
67,5E5vfNGMv0MeZwbaIfQB0E,Becky,be your own PET,60oPm94IK14iPqnGwkbw8x,Get Damaged,2jaavLFMjNtATgPuElMgOn,2008-06-03,45,2020-05-14T03:26:06Z,2020-05-14 03:26:06,2020,5,3,3
68,6rMIAKK61g1PONsXTpkMSM,Pornstep - Original Mix,Dodge & Fuski,6SJnjpekgnONgNtxKeMP8m,Fierce / Pornstep,7bZCDUGU1E19wpZ0IMVZCF,2010-05-24,26,2020-05-14T03:21:52Z,2020-05-14 03:21:52,2020,5,3,3
69,7xl2ZaOnKAxJyrkIQe2S43,Tick Tick Boom,The Hives,4DToQR3aKrHQSSRzSz8Nzt,The Black and White album,3UpE4fszD4goeSoyZXq4dg,2007-01-01,56,2020-05-14T03:21:51Z,2020-05-14 03:21:51,2020,5,3,3
70,4cFMT3DwTYChrjBT71hqGy,You're a Wolf,Sea Wolf,3ZllGjNdP5pS8UFnT5Jj2x,Leaves in the River,6WC3AqZcdJkfRxYRo2iXSL,2007-09-25,49,2020-05-14T03:11:44Z,2020-05-14 03:11:44,2020,5,3,3
71,1CS7Sd1u5tWkstBhpssyjP,Take Me to Church,Hozier,2FXC3k01G6Gw61bmprjgqS,Hozier (Expanded Edition),4Pv7m8D82A1Xun7xNCKZjJ,2014-09-19,73,2020-05-14T03:03:59Z,2020-05-14 03:03:59,2020,5,3,3
72,0XsbCr34semDxq0ZX84BCh,Easy Living,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,Billie Holiday Love Songs,3MXpFQDq1cTE4WfGZDAsY4,1996-01-30,55,2020-05-14T02:46:58Z,2020-05-14 02:46:58,2020,5,3,2
73,5Yfq9uugLFchtFymQQWxgt,I Got the Juice (feat. Pharrell Williams),Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,2PjlaxlMunGOUvcRzlTbtE,2018-04-27,51,2020-05-12T03:27:11Z,2020-05-12 03:27:11,2020,5,1,3
74,66jMYG0wj6m6oj8LKvteEn,So Afraid,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,2PjlaxlMunGOUvcRzlTbtE,2018-04-27,44,2020-05-12T03:27:00Z,2020-05-12 03:27:00,2020,5,1,3
75,56RfNBJGUgL1ZFCB1KEJrQ,Django Jane,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,2PjlaxlMunGOUvcRzlTbtE,2018-04-27,54,2020-05-12T03:26:54Z,2020-05-12 03:26:54,2020,5,1,3
