,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
456,0.419,0.934,7,-3.908,0,0.12,0.000278,0.0015,0.132,0.286,127.288,audio_features,2DlHlPMa4M17kufBvI2lEN,spotify:track:2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/tracks/2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/audio-analysis/2DlHlPMa4M17kufBvI2lEN,210240,4
457,0.454,0.938,5,-3.594,0,0.123,0.0104,0.000879,0.311,0.795,160.156,audio_features,2SpGXD7EbexndFmmThrnsy,spotify:track:2SpGXD7EbexndFmmThrnsy,https://api.spotify.com/v1/tracks/2SpGXD7EbexndFmmThrnsy,https://api.spotify.com/v1/audio-analysis/2SpGXD7EbexndFmmThrnsy,174933,4
458,0.495,0.974,1,-3.252,1,0.135,0.0202,8.31e-05,0.182,0.354,99.733,audio_features,3AwLxSqo1jOOMpNsgxqRNE,spotify:track:3AwLxSqo1jOOMpNsgxqRNE,https://api.spotify.com/v1/tracks/3AwLxSqo1jOOMpNsgxqRNE,https://api.spotify.com/v1/audio-analysis/3AwLxSqo1jOOMpNsgxqRNE,201160,4
459,0.47,0.796,8,-3.277,0,0.0336,0.362,1.11e-06,0.133,0.215,113.108,audio_features,1VNWaY3uNfoeWqb5U8x2QX,spotify:track:1VNWaY3uNfoeWqb5U8x2QX,https://api.spotify.com/v1/tracks/1VNWaY3uNfoeWqb5U8x2QX,https://api.spotify.com/v1/audio-analysis/1VNWaY3uNfoeWqb5U8x2QX,167907,3
460,0.287,0.818,1,-1.691,0,0.0384,0.264,2.42e-06,0.12,0.174,153.004,audio_features,1ez4uWPnJwYufNhYTLVsJr,spotify:track:1ez4uWPnJwYufNhYTLVsJr,https://api.spotify.com/v1/tracks/1ez4uWPnJwYufNhYTLVsJr,https://api.spotify.com/v1/audio-analysis/1ez4uWPnJwYufNhYTLVsJr,220267,4
461,0.361,0.921,6,-2.468,0,0.0717,0.173,6.95e-06,0.358,0.466,139.259,audio_features,41pOIT2t1rvr2Trg1HQChZ,spotify:track:41pOIT2t1rvr2Trg1HQChZ,https://api.spotify.com/v1/tracks/41pOIT2t1rvr2Trg1HQChZ,https://api.spotify.com/v1/audio-analysis/41pOIT2t1rvr2Trg1HQChZ,249227,4
462,0.528,0.159,8,-16.942,1,0.0353,0.712,0.000299,0.223,0.194,129.684,audio_features,6f1HJMVJ1CgUeCIM6r795H,spotify:track:6f1HJMVJ1CgUeCIM6r795H,https://api.spotify.com/v1/tracks/6f1HJMVJ1CgUeCIM6r795H,https://api.spotify.com/v1/audio-analysis/6f1HJMVJ1CgUeCIM6r795H,63667,4
463,0.417,0.849,1,-4.199,0,0.0481,0.0146,0.000387,0.0673,0.594,94.267,audio_features,3VEFybccRTeWSZRkJxDuNR,spotify:track:3VEFybccRTeWSZRkJxDuNR,https://api.spotify.com/v1/tracks/3VEFybccRTeWSZRkJxDuNR,https://api.spotify.com/v1/audio-analysis/3VEFybccRTeWSZRkJxDuNR,171693,4
464,0.47,0.635,7,-5.716,0,0.0446,0.779,0.0,0.562,0.913,210.025,audio_features,5b9lH8ThEcXGWsBM3TqAi5,spotify:track:5b9lH8ThEcXGWsBM3TqAi5,https://api.spotify.com/v1/tracks/5b9lH8ThEcXGWsBM3TqAi5,https://api.spotify.com/v1/audio-analysis/5b9lH8ThEcXGWsBM3TqAi5,139307,4
465,0.646,0.758,10,-4.34,1,0.0314,0.191,0.097,0.103,0.424,91.998,audio_features,3498wF96LsgVgMkGmJzJOC,spotify:track:3498wF96LsgVgMkGmJzJOC,https://api.spotify.com/v1/tracks/3498wF96LsgVgMkGmJzJOC,https://api.spotify.com/v1/audio-analysis/3498wF96LsgVgMkGmJzJOC,249067,4
466,0.324,0.427,9,-9.108,1,0.0271,0.291,4.5e-05,0.145,0.0389,137.299,audio_features,3C6b3tB0YpGNyLKcVplrtV,spotify:track:3C6b3tB0YpGNyLKcVplrtV,https://api.spotify.com/v1/tracks/3C6b3tB0YpGNyLKcVplrtV,https://api.spotify.com/v1/audio-analysis/3C6b3tB0YpGNyLKcVplrtV,191366,4
467,0.436,0.953,11,-5.222,0,0.0581,0.000251,0.0379,0.114,0.599,166.06,audio_features,5KX3uj0E1TdvNfrognZhHJ,spotify:track:5KX3uj0E1TdvNfrognZhHJ,https://api.spotify.com/v1/tracks/5KX3uj0E1TdvNfrognZhHJ,https://api.spotify.com/v1/audio-analysis/5KX3uj0E1TdvNfrognZhHJ,215240,4
468,0.517,0.206,5,-12.233,1,0.0421,0.924,0.0,0.118,0.489,80.401,audio_features,3kZC0ZmFWrEHdUCmUqlvgZ,spotify:track:3kZC0ZmFWrEHdUCmUqlvgZ,https://api.spotify.com/v1/tracks/3kZC0ZmFWrEHdUCmUqlvgZ,https://api.spotify.com/v1/audio-analysis/3kZC0ZmFWrEHdUCmUqlvgZ,189187,4
469,0.498,0.639,0,-6.04,1,0.0328,0.0837,4.61e-05,0.194,0.18,139.832,audio_features,28kfUZO5oz8dH3zIOdRAxm,spotify:track:28kfUZO5oz8dH3zIOdRAxm,https://api.spotify.com/v1/tracks/28kfUZO5oz8dH3zIOdRAxm,https://api.spotify.com/v1/audio-analysis/28kfUZO5oz8dH3zIOdRAxm,175547,4
470,0.522,0.889,1,-4.137,1,0.0461,0.00328,0.0,0.345,0.852,144.499,audio_features,3Rleu2vd9qHGjRJdcFtPbC,spotify:track:3Rleu2vd9qHGjRJdcFtPbC,https://api.spotify.com/v1/tracks/3Rleu2vd9qHGjRJdcFtPbC,https://api.spotify.com/v1/audio-analysis/3Rleu2vd9qHGjRJdcFtPbC,141133,4
471,0.575,0.422,9,-9.011,0,0.0272,0.588,0.148,0.12,0.0854,93.698,audio_features,3eRVVNZNPEFEszkwcT8Qe3,spotify:track:3eRVVNZNPEFEszkwcT8Qe3,https://api.spotify.com/v1/tracks/3eRVVNZNPEFEszkwcT8Qe3,https://api.spotify.com/v1/audio-analysis/3eRVVNZNPEFEszkwcT8Qe3,249587,3
472,0.669,0.389,0,-11.547,1,0.0306,0.605,0.16,0.0905,0.649,130.015,audio_features,2cP37n7TZEe0oBxCbZu0KA,spotify:track:2cP37n7TZEe0oBxCbZu0KA,https://api.spotify.com/v1/tracks/2cP37n7TZEe0oBxCbZu0KA,https://api.spotify.com/v1/audio-analysis/2cP37n7TZEe0oBxCbZu0KA,231173,4
473,0.537,0.454,9,-7.896,1,0.0535,0.65,0.000138,0.0879,0.628,128.201,audio_features,2EWMlxsVQdNpgZ3TryxdR9,spotify:track:2EWMlxsVQdNpgZ3TryxdR9,https://api.spotify.com/v1/tracks/2EWMlxsVQdNpgZ3TryxdR9,https://api.spotify.com/v1/audio-analysis/2EWMlxsVQdNpgZ3TryxdR9,133293,4
474,0.344,0.776,11,-6.638,0,0.0309,0.119,0.12,0.112,0.316,87.325,audio_features,4sD9nPRNqWww4mADeEfJhi,spotify:track:4sD9nPRNqWww4mADeEfJhi,https://api.spotify.com/v1/tracks/4sD9nPRNqWww4mADeEfJhi,https://api.spotify.com/v1/audio-analysis/4sD9nPRNqWww4mADeEfJhi,332813,4
475,0.47,0.952,11,-3.641,0,0.134,0.000139,0.00283,0.386,0.398,170.058,audio_features,7vjzFWG4neQ9YYMN9yZ9hr,spotify:track:7vjzFWG4neQ9YYMN9yZ9hr,https://api.spotify.com/v1/tracks/7vjzFWG4neQ9YYMN9yZ9hr,https://api.spotify.com/v1/audio-analysis/7vjzFWG4neQ9YYMN9yZ9hr,220573,4
476,0.448,0.921,1,-3.726,1,0.0591,0.000101,0.00197,0.238,0.498,160.959,audio_features,0A31i51V3omHTJMDCJxDfh,spotify:track:0A31i51V3omHTJMDCJxDfh,https://api.spotify.com/v1/tracks/0A31i51V3omHTJMDCJxDfh,https://api.spotify.com/v1/audio-analysis/0A31i51V3omHTJMDCJxDfh,164600,4
477,0.546,0.834,2,-6.883,1,0.0456,0.0054,0.503,0.167,0.601,96.623,audio_features,336KlwcHenPiFtBtuIkVHi,spotify:track:336KlwcHenPiFtBtuIkVHi,https://api.spotify.com/v1/tracks/336KlwcHenPiFtBtuIkVHi,https://api.spotify.com/v1/audio-analysis/336KlwcHenPiFtBtuIkVHi,170280,4
478,0.638,0.452,9,-9.616,1,0.0297,0.608,0.0577,0.112,0.341,100.105,audio_features,6z2qa2dnJDXgVTngG4gFu7,spotify:track:6z2qa2dnJDXgVTngG4gFu7,https://api.spotify.com/v1/tracks/6z2qa2dnJDXgVTngG4gFu7,https://api.spotify.com/v1/audio-analysis/6z2qa2dnJDXgVTngG4gFu7,152947,4
479,0.429,0.289,10,-13.899,0,0.0367,0.838,0.00354,0.508,0.326,128.733,audio_features,1GzeciE0QbafbERCsOxcpx,spotify:track:1GzeciE0QbafbERCsOxcpx,https://api.spotify.com/v1/tracks/1GzeciE0QbafbERCsOxcpx,https://api.spotify.com/v1/audio-analysis/1GzeciE0QbafbERCsOxcpx,267987,4
480,0.62,0.291,8,-11.858,1,0.0567,0.59,0.000104,0.0665,0.187,120.02,audio_features,72PMRGgYB1mkY3TsUJZtyc,spotify:track:72PMRGgYB1mkY3TsUJZtyc,https://api.spotify.com/v1/tracks/72PMRGgYB1mkY3TsUJZtyc,https://api.spotify.com/v1/audio-analysis/72PMRGgYB1mkY3TsUJZtyc,267227,4
481,0.769,0.371,0,-8.522,1,0.0326,0.733,3.73e-05,0.106,0.653,100.001,audio_features,476JcJ3TpAuCOlGdCmomGm,spotify:track:476JcJ3TpAuCOlGdCmomGm,https://api.spotify.com/v1/tracks/476JcJ3TpAuCOlGdCmomGm,https://api.spotify.com/v1/audio-analysis/476JcJ3TpAuCOlGdCmomGm,225107,4
482,0.646,0.361,1,-10.373,0,0.034,0.868,0.000195,0.0966,0.53,79.987,audio_features,7890I2iEB0pQig0ZWHI6UR,spotify:track:7890I2iEB0pQig0ZWHI6UR,https://api.spotify.com/v1/tracks/7890I2iEB0pQig0ZWHI6UR,https://api.spotify.com/v1/audio-analysis/7890I2iEB0pQig0ZWHI6UR,282987,4
483,0.468,0.3,2,-13.131,1,0.0289,0.771,0.000185,0.103,0.518,82.866,audio_features,3PxtyltEOPjenovANU3Npk,spotify:track:3PxtyltEOPjenovANU3Npk,https://api.spotify.com/v1/tracks/3PxtyltEOPjenovANU3Npk,https://api.spotify.com/v1/audio-analysis/3PxtyltEOPjenovANU3Npk,187533,4
484,0.521,0.753,9,-7.197,1,0.0423,0.00265,0.000833,0.126,0.608,126.957,audio_features,2BeN7fKwllAFFHeDoaAMaV,spotify:track:2BeN7fKwllAFFHeDoaAMaV,https://api.spotify.com/v1/tracks/2BeN7fKwllAFFHeDoaAMaV,https://api.spotify.com/v1/audio-analysis/2BeN7fKwllAFFHeDoaAMaV,250254,4
485,0.528,0.908,2,-5.609,0,0.0608,0.00438,0.000524,0.335,0.477,121.491,audio_features,5EDk2eiTXZU2o32rmzvmxO,spotify:track:5EDk2eiTXZU2o32rmzvmxO,https://api.spotify.com/v1/tracks/5EDk2eiTXZU2o32rmzvmxO,https://api.spotify.com/v1/audio-analysis/5EDk2eiTXZU2o32rmzvmxO,208280,4
486,0.637,0.8,5,-7.093,1,0.0465,0.0355,0.000318,0.177,0.743,108.922,audio_features,06ialTW3Bmilw4oujrbK9O,spotify:track:06ialTW3Bmilw4oujrbK9O,https://api.spotify.com/v1/tracks/06ialTW3Bmilw4oujrbK9O,https://api.spotify.com/v1/audio-analysis/06ialTW3Bmilw4oujrbK9O,281247,4
487,0.559,0.838,2,-7.954,1,0.0616,0.00449,0.0,0.0864,0.279,116.977,audio_features,2zIL2nxHo5wtEOY91L48Ny,spotify:track:2zIL2nxHo5wtEOY91L48Ny,https://api.spotify.com/v1/tracks/2zIL2nxHo5wtEOY91L48Ny,https://api.spotify.com/v1/audio-analysis/2zIL2nxHo5wtEOY91L48Ny,249767,4
488,0.518,0.738,6,-7.368,0,0.118,0.31,0.0874,0.102,0.351,90.92,audio_features,7zyVxi1iaBdOZt4qEVRKhO,spotify:track:7zyVxi1iaBdOZt4qEVRKhO,https://api.spotify.com/v1/tracks/7zyVxi1iaBdOZt4qEVRKhO,https://api.spotify.com/v1/audio-analysis/7zyVxi1iaBdOZt4qEVRKhO,181960,4
489,0.441,0.283,2,-9.092,1,0.0304,0.765,0.0348,0.076,0.225,79.664,audio_features,1mXq9EHQM4hK5CzVVwRlDa,spotify:track:1mXq9EHQM4hK5CzVVwRlDa,https://api.spotify.com/v1/tracks/1mXq9EHQM4hK5CzVVwRlDa,https://api.spotify.com/v1/audio-analysis/1mXq9EHQM4hK5CzVVwRlDa,275628,4
490,0.522,0.74,7,-8.738,1,0.0483,0.047,0.164,0.121,0.142,123.013,audio_features,04hZaH1I3fdJ4s3OJT2ets,spotify:track:04hZaH1I3fdJ4s3OJT2ets,https://api.spotify.com/v1/tracks/04hZaH1I3fdJ4s3OJT2ets,https://api.spotify.com/v1/audio-analysis/04hZaH1I3fdJ4s3OJT2ets,208145,4
